id,ZIV20_pocet,ZIV20_1,ZIV20_2,ZIV20_3,ZIV20_4,ZIV20_5,ZIV20_6,ZIV20_7,ZIV20_8,ZIV20_9,ZIV20_10,ZIV20_11,ZIV20_12,ZIV20_13,ZIV20_14,ZIV20_15,ZIV20_16
87,4,1,1,0,1,1,1,1,1,1,2,1,1,1,2,1,1
88,11,1,1,3,2,3,1,2,4,4,1,2,4,4,3,3,4
89,9,1,2,2,0,3,2,2,1,3,1,3,2,4,4,3,3
90,11,2,1,2,2,2,4,2,2,4,4,1,2,5,4,2,1
91,10,1,1,2,2,2,1,1,1,2,3,2,1,3,5,4,2
92,6,3,1,1,1,3,2,0,1,2,2,0,0,2,2,1,1
93,11,3,2,3,3,2,1,1,3,3,2,2,2,2,2,2,2
94,9,3,2,2,1,3,1,1,1,2,1,1,1,2,1,3,3
95,9,1,3,3,2,3,2,2,2,3,1,1,1,1,1,1,3
96,21,7,7,2,3,8,8,3,1,5,9,9,9,3,3,3,6
97,25,3,5,5,4,3,2,1,4,7,4,2,4,8,8,4,8
98,9,3,2,1,0,5,2,0,1,5,2,0,0,7,3,1,1
99,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
100,12,2,3,3,3,2,2,3,4,1,2,2,4,0,3,3,4
101,19,7,4,6,6,5,5,2,7,6,10,8,7,4,4,4,3
102,9,4,1,3,1,3,3,3,1,1,3,1,1,2,2,0,1
103,3,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0
104,4,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1
105,13,4,3,3,2,1,1,0,2,5,5,2,0,4,4,3,1
